5, 12, 5, 12, 7, 6, 2, 8, 1, 2, 3, 3, 3, 7, 10, 7, 6, 8, 2, 6, 4, 2, 12, 11, 12, 12, 2, 3, 9, 4 ; 20.5
4, 3, 1, 3, 12, 6, 3, 2, 2, 7, 2, 3, 5, 7, 7, 6, 10, 6, 8, 12, 8, 12, 12, 11, 2, 2, 5, 4, 12, 9 ; 20.0
4, 3, 2, 3, 7, 12, 8, 4, 6, 2, 8, 1, 12, 3, 3, 7, 7, 6, 2, 6, 2, 12, 5, 11, 10, 12, 12, 2, 5, 9 ; 19.5
2, 2, 12, 12, 9, 2, 3, 1, 2, 6, 4, 10, 3, 6, 5, 7, 7, 6, 3, 7, 8, 12, 3, 12, 12, 11, 8, 2, 4, 5 ; 19.0
3, 2, 7, 4, 2, 2, 7, 6, 12, 8, 6, 9, 6, 2, 3, 3, 7, 12, 8, 12, 12, 11, 10, 5, 12, 3, 1, 2, 5, 4 ; 18.5
12, 2, 2, 7, 7, 7, 6, 2, 8, 1, 12, 3, 6, 10, 6, 12, 12, 2, 4, 5, 3, 3, 2, 8, 3, 5, 4, 12, 9, 11 ; 18.5
7, 9, 5, 2, 6, 2, 4, 8, 6, 2, 8, 1, 12, 3, 3, 3, 7, 10, 7, 6, 12, 3, 12, 12, 12, 11, 2, 2, 5, 4 ; 18.5
5, 2, 6, 2, 4, 8, 6, 2, 8, 1, 12, 9, 10, 3, 3, 3, 7, 7, 6, 12, 3, 12, 12, 12, 11, 2, 2, 5, 4, 7 ; 18.0
4, 2, 2, 12, 12, 7, 10, 8, 9, 6, 6, 6, 2, 12, 3, 3, 7, 7, 8, 12, 3, 12, 11, 2, 2, 1, 3, 4, 5, 5 ; 18.0
7, 9, 5, 2, 6, 2, 4, 8, 6, 2, 1, 12, 3, 3, 3, 7, 10, 7, 6, 12, 12, 12, 11, 8, 3, 2, 12, 2, 5, 4 ; 18.0
